,VSI_Motor_Speed_RR,VSI_Motor_Speed_RL,VSI_Motor_Speed_FR,VSI_Motor_Speed_FL,VSI_TrqFeedback_RR,VSI_TrqFeedback_RL,VSI_TrqFeedback_FR,VSI_TrqFeedback_FL,MISC_Pos_Trq_Limit_RR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_FL,MISC_Neg_Trq_Limit_RR,MISC_Neg_Trq_Limit_RL,MISC_Neg_Trq_Limit_FR,MISC_Neg_Trq_Limit_FL
139.87,9424.0,8176.0,7163.0,8252.0,11.25432,10.86624,10.86624,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.88,9424.0,8167.0,7166.0,8430.0,11.51304,10.86624,10.9956,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.89,9435.0,8161.0,7154.0,8252.0,10.3488,10.73688,10.9956,10.3488,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.9,9426.0,8194.0,7168.0,8403.0,10.60752,11.51304,10.86624,11.38368,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.91,9433.0,8093.0,7171.0,8285.0,11.6424,10.21944,11.38368,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.92,9386.0,8239.0,7137.0,8399.0,10.73688,11.38368,10.86624,11.38368,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.93,9426.0,8122.0,7152.0,8295.0,10.9956,10.9956,11.25432,10.86624,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.94,9419.0,8195.0,7161.0,8382.0,11.38368,10.9956,11.12496,11.25432,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.95,9440.0,8156.0,7170.0,8325.0,11.12496,10.86624,11.12496,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.96,9412.0,8187.0,7147.0,8339.0,10.3488,10.60752,10.86624,10.60752,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.97,9460.0,8175.0,7170.0,8356.0,11.38368,11.38368,11.12496,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.98,9423.0,8160.0,7170.0,8316.0,11.77176,10.73688,10.9956,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.99,9458.0,8226.0,7164.0,8347.0,11.25432,11.25432,10.9956,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.0,9396.0,8112.0,7178.0,8331.0,10.09008,10.73688,10.73688,11.25432,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.01,9450.0,8240.0,7169.0,8388.0,11.38368,11.12496,10.86624,11.6424,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
